event_id,date,year,quarter,day_index,era,product_family,product,event_type,title_en,title_zh,summary_en,summary_zh,importance,node_tier,lifecycle,map_region,map_lane,glyph,pixel_icon,x_hint,y_hint,source_name,source_url,source_kind,coverage_status,confidence,tags
evt-20230320-codex-models,2023-03-20,2023,Q1,110,Platform Expansion,safety_lifecycle,Codex,deprecation,Codex models,淘汰通知：Codex models,Codex models.,OpenAI 於 2023-03-20 為 Codex 公布淘汰計畫；此節點依官方發布記錄整理，完整能力、適用方案與限制請見來源。,3,update,deprecated,Safety Wall,9,!,shield,501,1501,OpenAI API Deprecations,https://platform.openai.com/docs/deprecations,developer_deprecations,parsed,high,"[""safety_lifecycle"",""deprecation"",""Codex""]"
evt-20230323-introducing-plugins-in-chatgpt,2023-03-23,2023,Q1,113,Platform Expansion,chatgpt_core,ChatGPT,launch,Introducing plugins in ChatGPT,推出plugins 於 ChatGPT,"We are announcing experimental support for AI plugins in ChatGPT — tools designed specifically for language models. Plugins can help ChatGPT access up-to-date information, run computations, or use third-party services. You can learn more about plugins here. Today, we will begin extending plugin access to users and developers from our waitlist. The plugins we are rolling out with are:",OpenAI 於 2023-03-23 為 ChatGPT 推出新產品或能力；此節點依官方發布記錄整理，完整能力、適用方案與限制請見來源。,4,major,active,Origin Plaza,0,@,home,508,146,ChatGPT — Release Notes,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,help_center_release_notes,parsed,high,"[""chatgpt_core"",""launch"",""ChatGPT""]"
evt-20230503-legacy-gpt-3-5-model-deprecation-announced,2023-05-03,2023,Q2,154,Platform Expansion,safety_lifecycle,GPT-3.5 Legacy,deprecation,Legacy GPT-3.5 model deprecation announced,宣布淘汰 Legacy GPT-3.5 模型,OpenAI announced that the Legacy GPT-3.5 option would be deprecated on May 10; existing conversations could continue but new messages would use the default model.,OpenAI 宣布 Legacy GPT-3.5 選項將於 5 月 10 日淘汰；既有對話仍可延續，但新訊息會改用預設模型。,3,update,deprecated,Safety Wall,9,!,shield,613,1468,ChatGPT — Release Notes,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,help_center_release_notes,parsed,high,"[""safety_lifecycle"",""deprecation"",""GPT-3.5 Legacy"",""gpt-3.5"",""legacy"",""chatgpt""]"
evt-20230512-web-browsing-beta-rolls-out-to-plus,2023-05-12,2023,Q2,163,Platform Expansion,search_commerce,ChatGPT Browsing,availability,Web browsing beta rolls out to Plus,網路瀏覽 Beta 推向 Plus,OpenAI began rolling web browsing to all Plus users through a new beta-features settings panel.,OpenAI 開始透過新的 Beta 功能設定面板，向所有 Plus 使用者推出網路瀏覽。,3,update,beta,Commerce Bazaar,6,$,shop,636,1087,ChatGPT — Release Notes,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,help_center_release_notes,parsed,high,"[""search_commerce"",""availability"",""ChatGPT Browsing"",""chatgpt"",""browsing"",""plus"",""beta""]"
evt-20230512-plugins-beta-rolls-out-to-plus,2023-05-12,2023,Q2,163,Platform Expansion,developer_platform,ChatGPT Plugins,availability,Plugins beta rolls out to Plus,外掛 Beta 推向 Plus,OpenAI began rolling third-party plugins and the Plugin Store to all Plus users through the beta-features panel.,OpenAI 開始透過 Beta 功能面板，向所有 Plus 使用者推出第三方外掛與 Plugin Store。,3,update,beta,Toolsmith Harbor,3,#,terminal,636,580,ChatGPT — Release Notes,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,help_center_release_notes,parsed,high,"[""developer_platform"",""availability"",""ChatGPT Plugins"",""chatgpt"",""plugins"",""plugin-store"",""plus""]"
evt-20230518-introducing-the-chatgpt-app-for-ios,2023-05-18,2023,Q2,169,Platform Expansion,clients_surfaces,ChatGPT iOS,platform,Introducing the ChatGPT app for iOS,推出 ChatGPT iOS App,"OpenAI launched a free iOS app in the United States with conversation syncing, Whisper voice input, and Plus access to GPT-4.",OpenAI 在美國推出免費 iOS App，支援對話同步、Whisper 語音輸入，以及 Plus 使用 GPT-4。,4,major,active,Client Archipelago,8,+,island,651,1331,Introducing the ChatGPT app for iOS,https://openai.com/index/introducing-the-chatgpt-app-for-ios/,launch_post,complete,high,"[""clients_surfaces"",""platform"",""ChatGPT iOS"",""chatgpt"",""ios"",""mobile"",""whisper""]"
evt-20230524-disable-chat-history-on-ios,2023-05-24,2023,Q2,175,Platform Expansion,safety_lifecycle,ChatGPT iOS Data Controls,safety,Disable chat history on iOS,iOS 可關閉聊天紀錄,The iOS app added a local control to disable chat history and model-training use for new conversations.,iOS App 新增本機控制，可關閉新對話的聊天紀錄與模型訓練用途。,3,update,general_availability,Safety Wall,9,!,shield,666,1500,ChatGPT — Release Notes,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,help_center_release_notes,parsed,high,"[""safety_lifecycle"",""safety"",""ChatGPT iOS Data Controls"",""chatgpt"",""ios"",""privacy"",""history""]"
evt-20230524-chatgpt-ios-expands-to-11-more-countries,2023-05-24,2023,Q2,175,Platform Expansion,clients_surfaces,ChatGPT iOS,availability,ChatGPT iOS expands to 11 more countries,ChatGPT iOS 再擴展至 11 國,OpenAI expanded the iOS app from its U.S. launch to 11 additional countries and regions.,OpenAI 將 iOS App 從美國擴展至另外 11 個國家與地區。,3,update,active,Client Archipelago,8,+,island,666,1351,ChatGPT — Release Notes,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,help_center_release_notes,parsed,high,"[""clients_surfaces"",""availability"",""ChatGPT iOS"",""chatgpt"",""ios"",""international"",""mobile""]"
evt-20230613-updated-chat-models-deprecation,2023-06-13,2023,Q2,195,Platform Expansion,safety_lifecycle,Model Platform,deprecation,Updated chat models deprecation,Updated chat models 棄用公告,"On June 13, 2023, we announced new chat model versions in the Function calling and other API updates blog post. The three original versions will be retired in June 2024 at the earliest. As of January 10, 2024, only existing users of these models will be able to continue using them. Schedule/replacements: at earliest 2024-06-13 gpt-4-0314 $30.00 / 1M input tokens + $60.00 / 1M output tokens gpt-4o; 2024-09-13 gpt-3.5-turbo-0301 $15.00…",OpenAI 於 2023-06-13 為 OpenAI API 公布淘汰計畫；此節點依官方發布記錄整理，完整能力、適用方案與限制請見來源。,4,major,deprecated,Safety Wall,9,!,shield,717,1492,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2023-06-13-updated-chat-models,official_deprecation_registry,corroborated,high,"[""safety_lifecycle"",""deprecation"",""Model Platform"",""api"",""model-platform""]"
evt-20230613-function-calling-and-other-api-updates,2023-06-13,2023,Q2,195,Platform Expansion,developer_platform,Chat Completions API,feature,Function calling and other API updates,API 函式調用與模型更新,"OpenAI added function calling to Chat Completions, released updated GPT-4 and GPT-3.5 Turbo snapshots, a 16K GPT-3.5 Turbo variant, lower prices, and deprecation schedules.",Chat Completions 新增函式調用，並同步推出模型快照、16K 上下文、降價與棄用時程。,3,update,active,Toolsmith Harbor,3,#,terminal,717,584,Function calling and other API updates,https://openai.com/index/function-calling-and-other-api-updates/,official_launch_post,parsed,high,"[""developer_platform"",""feature"",""Chat Completions API"",""chat-completions"",""function-calling""]"
evt-20230703-browsing-temporarily-disabled,2023-07-03,2023,Q3,215,Platform Expansion,safety_lifecycle,ChatGPT Browsing,safety,Browsing temporarily disabled,瀏覽功能暫時停用,"OpenAI temporarily disabled Browse after finding it could reproduce page content in unintended ways, including fulfilling requests for full URL text.",OpenAI 發現 Browse 可能以非預期方式重現頁面內容，包括滿足取得完整網址文字的要求，因此暫時停用。,3,update,active,Safety Wall,9,!,shield,769,1528,ChatGPT — Release Notes,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,help_center_release_notes,parsed,high,"[""safety_lifecycle"",""safety"",""ChatGPT Browsing"",""chatgpt"",""browsing"",""suspension"",""content-safety""]"
evt-20230706-gpt-4-api-reaches-general-availability,2023-07-06,2023,Q3,218,Platform Expansion,developer_platform,OpenAI API Platform,availability,GPT-4 API reaches general availability,GPT‑4 API 正式 GA,"All paying API customers gained GPT-4 access; GPT-3.5 Turbo, DALL·E and Whisper APIs were declared generally available, while older Completions, embeddings and Edits systems received retirement plans.",所有付費 API 客戶取得 GPT‑4 存取；GPT‑3.5 Turbo、DALL·E 與 Whisper API 進入 GA，舊系統同步公布退役計畫。,4,major,general_availability,Toolsmith Harbor,3,#,terminal,776,613,GPT-4 API general availability,https://openai.com/index/gpt-4-api-general-availability/,official_launch_post,parsed,high,"[""developer_platform"",""availability"",""OpenAI API Platform"",""deprecation"",""ga"",""gpt-4""]"
evt-20230706-code-interpreter-beta-rolls-out-to-all-plus-users,2023-07-06,2023,Q3,218,Platform Expansion,developer_platform,Code Interpreter,availability,Code Interpreter beta rolls out to all Plus users,Code Interpreter Beta 推向所有 Plus 使用者,"OpenAI began rolling Code Interpreter on the web to every Plus user, enabling code execution and uploaded-file analysis.",OpenAI 開始向所有 Plus 使用者推出網頁版 Code Interpreter，可執行程式碼並分析上傳檔案。,4,major,beta,Toolsmith Harbor,3,#,terminal,776,628,ChatGPT — Release Notes,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,help_center_release_notes,parsed,high,"[""developer_platform"",""availability"",""Code Interpreter"",""chatgpt"",""code-interpreter"",""python"",""plus""]"
evt-20230719-gpt-4-message-limit-doubled,2023-07-19,2023,Q3,231,Platform Expansion,models_reasoning,GPT-4 in ChatGPT,pricing_quota,GPT-4 message limit doubled,GPT-4 訊息上限加倍,OpenAI doubled the GPT-4 allowance for Plus users to 40 messages every three hours.,OpenAI 將 Plus 使用者的 GPT-4 額度加倍至每三小時 40 則訊息。,4,major,active,Model Mountains,1,^,peak,809,307,ChatGPT — Release Notes,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,help_center_release_notes,parsed,high,"[""models_reasoning"",""pricing_quota"",""GPT-4 in ChatGPT"",""gpt-4"",""plus"",""message-limit"",""quota""]"
evt-20230725-introducing-the-chatgpt-app-for-android,2023-07-25,2023,Q3,237,Platform Expansion,clients_surfaces,ChatGPT Android,platform,Introducing the ChatGPT app for Android,推出 ChatGPT Android App,"ChatGPT for Android is now available for download in the United States, India, Bangladesh, and Brazil from the Google Play Store. We plan to expand the rollout to additional countries over the next week. You can track the Android rollout here.",OpenAI 於 2023-07-25 為 ChatGPT 調整方案、額度或計費；此節點依官方發布記錄整理，完整能力、適用方案與限制請見來源。,3,update,active,Client Archipelago,8,+,island,825,1376,ChatGPT — Release Notes,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,help_center_release_notes,parsed,high,"[""clients_surfaces"",""platform"",""ChatGPT Android"",""chatgpt"",""android"",""mobile"",""launch""]"
evt-20230803-chatgpt-remembers-the-selected-gpt-4-model,2023-08-03,2023,Q3,246,Platform Expansion,models_reasoning,ChatGPT model picker,feature,ChatGPT remembers the selected GPT-4 model,ChatGPT 記住所選 GPT-4 模式,Plus users no longer defaulted back to GPT-3.5 when starting a new chat; ChatGPT remembered the previously selected GPT-4 mode.,Plus 使用者開新聊天時不再自動回到 GPT-3.5；ChatGPT 會記住所選的 GPT-4 模式。,4,major,general_availability,Model Mountains,1,^,peak,848,329,ChatGPT — Release Notes,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,help_center_release_notes,parsed,high,"[""models_reasoning"",""feature"",""ChatGPT model picker"",""chatgpt"",""gpt-4"",""model-picker"",""preference""]"
evt-20230828-introducing-chatgpt-enterprise,2023-08-28,2023,Q3,271,Platform Expansion,enterprise_vertical,ChatGPT Enterprise,launch,Introducing ChatGPT Enterprise,推出 ChatGPT Enterprise,"OpenAI launched ChatGPT Enterprise with enterprise security and privacy, higher-speed GPT-4, longer context, advanced data analysis, customization, and admin capabilities.",OpenAI 推出 ChatGPT Enterprise，提供企業級隱私與安全、無上限高速 GPT-4、32K 上下文、進階資料分析與管理控制。,5,landmark,active,Enterprise Citadel,7,H,citadel,911,1226,Introducing ChatGPT Enterprise,https://openai.com/index/introducing-chatgpt-enterprise/,launch_post,complete,high,"[""enterprise_vertical"",""launch"",""ChatGPT Enterprise"",""chatgpt"",""enterprise"",""admin"",""privacy""]"
evt-20231016-dall-e-3-rolls-out-in-chatgpt-beta,2023-10-16,2023,Q4,320,Platform Expansion,multimodal,DALL-E 3 in ChatGPT,feature,DALL-E 3 rolls out in ChatGPT beta,DALL-E 3 在 ChatGPT 展開 Beta,OpenAI began integrating DALL-E 3 into ChatGPT on web and mobile so GPT-4 users could generate images conversationally.,OpenAI 開始在 ChatGPT 網頁與行動版整合 DALL-E 3，讓 GPT-4 使用者能以對話生成圖像。,4,major,beta,Multimodal Coast,4,~,wave,1036,747,ChatGPT — Release Notes,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,help_center_release_notes,parsed,high,"[""multimodal"",""feature"",""DALL-E 3 in ChatGPT"",""dall-e-3"",""chatgpt"",""image-generation"",""beta""]"
evt-20231017-browsing-is-now-out-of-beta,2023-10-17,2023,Q4,321,Platform Expansion,enterprise_vertical,ChatGPT Enterprise & Edu,launch,Browsing is now out of beta,推出：Browsing is now out of beta,"Browsing, which we re-launched a few weeks ago, is moving out of beta. Plus and Enterprise users no longer need to switch the beta toggle to use browse, and are able to choose ""Browse with Bing"" from the GPT-4 model selector.",OpenAI 於 2023-10-17 為 ChatGPT Enterprise & Edu 推出新產品或能力；此節點依官方發布記錄整理，完整能力、適用方案與限制請見來源。,4,major,beta,Enterprise Citadel,7,H,citadel,1039,1178,ChatGPT — Release Notes,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,help_center_release_notes,parsed,high,"[""enterprise_vertical"",""launch"",""ChatGPT Enterprise & Edu""]"
evt-20231017-browsing-leaves-beta,2023-10-17,2023,Q4,321,Platform Expansion,search_commerce,Browse with Bing,availability,Browsing leaves beta,瀏覽功能脫離 Beta,Browsing moved out of beta for Plus and Enterprise users and no longer required a beta-features toggle.,瀏覽功能對 Plus 與 Enterprise 使用者脫離 Beta，不再需要啟用 Beta 功能開關。,4,major,general_availability,Commerce Bazaar,6,$,shop,1039,1041,ChatGPT — Release Notes,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,help_center_release_notes,parsed,high,"[""search_commerce"",""availability"",""Browse with Bing"",""chatgpt"",""browsing"",""general-availability"",""bing""]"
evt-20231019-dall-e-3-available-in-chatgpt-plus-and-enterprise,2023-10-19,2023,Q4,323,Platform Expansion,multimodal,DALL-E 3 in ChatGPT,availability,DALL-E 3 available in ChatGPT Plus and Enterprise,DALL-E 3 開放 ChatGPT Plus 與 Enterprise,DALL-E 3 became available to Plus and Enterprise users for conversational image creation and iterative revisions inside ChatGPT.,DALL-E 3 向 Plus 與 Enterprise 使用者開放，可在 ChatGPT 內以對話生成圖像並反覆修改。,4,major,general_availability,Multimodal Coast,4,~,wave,1044,785,DALL-E 3 is now available in ChatGPT Plus and Enterprise,https://openai.com/index/dall-e-3-is-now-available-in-chatgpt-plus-and-enterprise/,product_post,complete,high,"[""multimodal"",""availability"",""DALL-E 3 in ChatGPT"",""dall-e-3"",""chatgpt"",""plus"",""enterprise""]"
evt-20231106-introducing-gpts,2023-11-06,2023,Q4,341,Platform Expansion,memory_knowledge,ChatGPT,launch,Introducing GPTs,推出GPTs,"You can now create custom versions of ChatGPT that combine instructions, extra knowledge, and any combination of skills. Learn more here. We’re rolling out custom versions of ChatGPT that you can create for a specific purpose—called GPTs. GPTs are a new way for anyone to create a tailored version of ChatGPT to be more helpful in their daily life, at specific tasks, at work, or at home—and then share that creation with others. For exa…",OpenAI 於 2023-11-06 為 ChatGPT 推出新產品或能力；此節點依官方發布記錄整理，完整能力、適用方案與限制請見來源。,5,landmark,active,Memory Forest,5,&,tree,1090,938,ChatGPT — Release Notes,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,help_center_release_notes,parsed,high,"[""memory_knowledge"",""launch"",""ChatGPT"",""gpts"",""chatgpt"",""custom-agents"",""creator""]"
evt-20231106-gpt-4-turbo-preview,2023-11-06,2023,Q4,341,Platform Expansion,models_reasoning,GPT-4 Turbo,model_release,GPT-4 Turbo preview,GPT-4 Turbo 預覽,"OpenAI launched a GPT-4 Turbo preview with knowledge through April 2023, a 128K context window, improved capability, and lower API prices.",OpenAI 推出 GPT-4 Turbo 預覽，知識更新至 2023 年 4 月，具 128K 上下文、更強能力與更低 API 價格。,5,landmark,research_preview,Model Mountains,1,^,peak,1090,299,New models and developer products announced at DevDay,https://openai.com/index/new-models-and-developer-products-announced-at-devday/,release_post,complete,high,"[""models_reasoning"",""model_release"",""GPT-4 Turbo"",""gpt-4-turbo"",""devday"",""128k"",""model-release""]"
evt-20231106-released-gpt-4-turbo-preview,2023-11-06,2023,Q4,341,Platform Expansion,safety_lifecycle,Lifecycle,deprecation,Released GPT-4 Turbo Preview,GPT‑4 Turbo with Vision 在 API 正式 GA,"Released GPT-4 Turbo Preview , updated GPT-3.5 Turbo , GPT-4 Turbo with Vision , Assistants API , DALL·E 3 in the API , and text-to-speech API Deprecated the Chat Completions functions parameter in favor of tools Released OpenAI Python SDK V1.0",GPT‑4 Turbo with Vision 在 API 正式 GA。OpenAI 將此列為 2023-11-06 的更新；重點涉及棄用與遷移、代理與工具調用、即時語音與音訊，模型、端點與參數名稱依官方英文保留。,4,major,deprecated,Safety Wall,9,!,shield,1090,1516,OpenAI API Changelog,https://developers.openai.com/api/docs/changelog,official_changelog,complete,high,"[""safety_lifecycle"",""deprecation"",""Lifecycle"",""migration"",""update""]"
evt-20231121-chatgpt-voice-available-to-all-free-users,2023-11-21,2023,Q4,356,Platform Expansion,multimodal,ChatGPT Voice,availability,ChatGPT Voice available to all free users,ChatGPT Voice 開放所有免費使用者,ChatGPT with voice is now available to all free users. Download the app on your phone and tap the headphones icon to start a conversation.,OpenAI 於 2023-11-21 為 ChatGPT Voice 擴大開放範圍；此節點依官方發布記錄整理，完整能力、適用方案與限制請見來源。,4,major,general_availability,Multimodal Coast,4,~,wave,1128,784,ChatGPT — Release Notes,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,help_center_release_notes,parsed,high,"[""multimodal"",""availability"",""ChatGPT Voice"",""chatgpt"",""voice"",""free"",""mobile""]"
evt-20240110-introducing-chatgpt-team,2024-01-10,2024,Q1,406,Platform Expansion,enterprise_vertical,ChatGPT Team,launch,Introducing ChatGPT Team,推出 ChatGPT Team,"OpenAI launched the self-serve ChatGPT Team plan with a collaborative workspace, admin tools, higher model limits, and no training on business data by default.",OpenAI 推出自助式 ChatGPT Team，提供協作工作區、管理工具、更高模型額度，且預設不以商業資料訓練。,5,landmark,active,Enterprise Citadel,7,H,citadel,1256,1194,Introducing ChatGPT Team,https://openai.com/index/introducing-chatgpt-team/,launch_post,complete,high,"[""enterprise_vertical"",""launch"",""ChatGPT Team"",""chatgpt"",""team"",""workspace"",""subscription"",""admin"",""business""]"
evt-20240110-introducing-the-gpt-store,2024-01-10,2024,Q1,406,Platform Expansion,developer_platform,GPT Store,platform,Introducing the GPT Store,推出 GPT Store,"OpenAI began rolling out a store for discovering community-built GPTs to ChatGPT Plus, Team, and Enterprise users.",OpenAI 開始向 ChatGPT Plus、Team 與 Enterprise 使用者推出可探索社群 GPT 的商店。,4,major,active,Toolsmith Harbor,3,#,terminal,1256,620,Introducing the GPT Store,https://openai.com/index/introducing-the-gpt-store/,launch_post,complete,high,"[""developer_platform"",""platform"",""GPT Store"",""gpt-store"",""gpts"",""marketplace"",""chatgpt""]"
evt-20240110-introducing-the-gpt-store-and-chatgpt-team-plan,2024-01-10,2024,Q1,406,Platform Expansion,enterprise_vertical,ChatGPT Images,pricing_quota,Introducing the GPT Store and ChatGPT Team plan,方案更新：ChatGPT Images,"Discover what’s trending in the GPT Store The store features a diverse range of GPTs developed by our partners and the community. Browse popular and trending GPTs on the community leaderboard, with categories like DALL·E, writing, research, programming, education, and lifestyle.",OpenAI 於 2024-01-10 為 ChatGPT Images 調整方案、額度或計費；此節點依官方發布記錄整理，完整能力、適用方案與限制請見來源。,3,update,active,Enterprise Citadel,7,H,citadel,1256,1218,ChatGPT — Release Notes,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,help_center_release_notes,parsed,high,"[""enterprise_vertical"",""pricing_quota"",""ChatGPT Images""]"
evt-20240125-released-embedding-v3-models-and-an-updated-gpt-4-turbo-pr,2024-01-25,2024,Q1,421,Platform Expansion,models_reasoning,Model Platform,model_release,Released embedding V3 models and an updated GPT-4 Turbo preview,推出第三代 Embeddings 模型與更新版 GPT‑4 Turbo 預覽,Released embedding V3 models and an updated GPT-4 Turbo preview Added dimensions parameter to the Embeddings API,推出第三代 Embeddings 模型與更新版 GPT‑4 Turbo 預覽。OpenAI 將此列為 2024-01-25 的更新；重點涉及向量嵌入與檢索，模型、端點與參數名稱依官方英文保留。,4,major,research_preview,Model Mountains,1,^,peak,1294,283,OpenAI API Changelog,https://developers.openai.com/api/docs/changelog,official_changelog,corroborated,high,"[""models_reasoning"",""model_release"",""Model Platform"",""api"",""models"",""update""]"
