source_id,title,url_or_path,source_type,published_at,retrieved_at,quality_score,used_for_claims,notes
official-developers-openai-com-api-docs-deprecations-2024-10-02-assistants-api-beta-v1,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2024-10-02-assistants-api-beta-v1,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-2025-04-14-gpt-45-preview,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2025-04-14-gpt-45-preview,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-2025-04-28-o1-preview-and-o1-mini,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2025-04-28-o1-preview-and-o1-mini,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-2025-04-28-text-moderation,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2025-04-28-text-moderation,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-2025-06-10-gpt-4o-audio-preview-2024,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2025-06-10-gpt-4o-audio-preview-2024-10-01,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-2025-06-10-gpt-4o-realtime-preview-2,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2025-06-10-gpt-4o-realtime-preview-2024-10-01,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-2025-08-20-assistants-api,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2025-08-20-assistants-api,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-2025-09-15-gpt-4o-realtime-preview-m,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2025-09-15-gpt-4o-realtime-preview-models,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-2025-09-15-realtime-api-beta,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2025-09-15-realtime-api-beta,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-2025-09-26-legacy-gpt-model-snapshot,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2025-09-26-legacy-gpt-model-snapshots,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-2025-11-14-dalle-model-snapshots,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2025-11-14-dalle-model-snapshots,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-2025-11-17-codex-mini-latest-model-s,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2025-11-17-codex-mini-latest-model-snapshot,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-2025-11-18-chatgpt-4o-latest-snapsho,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2025-11-18-chatgpt-4o-latest-snapshot,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-2026-03-24-sora-2-video-generation-m,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2026-03-24-sora-2-video-generation-models-and-videos-api,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-2026-04-22-legacy-gpt-model-snapshot,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2026-04-22-legacy-gpt-model-snapshots,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-2026-05-08-gpt-52-chat-latest-and-gp,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2026-05-08-gpt-52-chat-latest-and-gpt-53-chat-latest-model-snapshots,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-2026-06-02-gpt-image-model-deprecati,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2026-06-02-gpt-image-model-deprecations,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-2026-06-03-agent-builder,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2026-06-03-agent-builder,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-2026-06-03-evals-platform,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2026-06-03-evals-platform,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-2026-06-03-reusable-prompts,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2026-06-03-reusable-prompts,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-2026-06-11-gpt-5-and-o3-model-deprec,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2026-06-11-gpt-5-and-o3-model-deprecations,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-update-to-openais-self-serve-fine-tu,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#update-to-openais-self-serve-fine-tuning,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-apps-sdk-changelog-apps-sdk-2026-01-15,Apps SDK Changelog,https://developers.openai.com/apps-sdk/changelog/#apps-sdk-2026-01-15,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-apps-sdk-changelog-apps-sdk-2026-01-21,Apps SDK Changelog,https://developers.openai.com/apps-sdk/changelog/#apps-sdk-2026-01-21,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-apps-sdk-changelog-apps-sdk-2026-02-02,Apps SDK Changelog,https://developers.openai.com/apps-sdk/changelog/#apps-sdk-2026-02-02,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-apps-sdk-changelog-apps-sdk-2026-02-22,Apps SDK Changelog,https://developers.openai.com/apps-sdk/changelog/#apps-sdk-2026-02-22,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-apps-sdk-changelog-apps-sdk-2026-03-09,Apps SDK Changelog,https://developers.openai.com/apps-sdk/changelog/#apps-sdk-2026-03-09,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-apps-sdk-changelog-apps-sdk-2026-03-24,Apps SDK Changelog,https://developers.openai.com/apps-sdk/changelog/#apps-sdk-2026-03-24,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-apps-sdk-changelog-apps-sdk-2026-03-25,Apps SDK Changelog,https://developers.openai.com/apps-sdk/changelog/#apps-sdk-2026-03-25,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-apps-sdk-changelog-apps-sdk-2026-05-06,Apps SDK Changelog,https://developers.openai.com/apps-sdk/changelog/#apps-sdk-2026-05-06,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-apps-sdk-changelog-apps-sdk-2026-05-26,Apps SDK Changelog,https://developers.openai.com/apps-sdk/changelog/#apps-sdk-2026-05-26,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-apps-sdk-changelog-apps-sdk-2026-05-27,Apps SDK Changelog,https://developers.openai.com/apps-sdk/changelog/#apps-sdk-2026-05-27,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-apps-sdk-changelog-apps-sdk-2026-05-28,Apps SDK Changelog,https://developers.openai.com/apps-sdk/changelog/#apps-sdk-2026-05-28,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-apps-sdk-changelog-apps-sdk-2026-06-12,Apps SDK Changelog,https://developers.openai.com/apps-sdk/changelog/#apps-sdk-2026-06-12,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-apps-sdk-changelog-developers-2025-11-4,Apps SDK Changelog,https://developers.openai.com/apps-sdk/changelog/#developers-2025-11-4,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2025-05-19,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2025-05-19,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2025-05-22,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2025-05-22,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2025-06-03,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2025-06-03,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2025-06-13,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2025-06-13,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2025-08-21,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2025-08-21,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2025-08-27,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2025-08-27,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2025-09-15,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2025-09-15,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2025-09-23,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2025-09-23,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2025-10-06,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2025-10-06,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2025-10-22,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2025-10-22,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2025-10-30,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2025-10-30,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2025-11-06,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2025-11-06,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2025-11-07,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2025-11-07,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2025-11-13,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2025-11-13,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2025-11-18,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2025-11-18,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2025-11-24,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2025-11-24,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2025-12-04,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2025-12-04,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2025-12-18,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2025-12-18,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2025-12-19,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2025-12-19,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-01-14,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-01-14,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-01-22,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-01-22,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-01-23,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-01-23,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-01-28,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-01-28,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-02-02,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-02-02,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-02-03-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-02-03-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-02-04-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-02-04-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-02-05,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-02-05,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-02-05-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-02-05-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-02-06-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-02-06-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-02-08-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-02-08-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-02-09,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-02-09,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-02-10-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-02-10-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-02-12,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-02-12,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-02-12-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-02-12-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-02-17-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-02-17-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-02-26-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-02-26-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-02-27-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-02-27-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-02-28-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-02-28-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-03-03-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-03-03-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-03-04-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-03-04-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-03-05,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-03-05,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-03-05-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-03-05-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-03-11-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-03-11-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-03-12-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-03-12-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-03-16-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-03-16-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-03-17,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-03-17,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-03-18-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-03-18-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-03-19-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-03-19-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-03-20-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-03-20-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-03-24-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-03-24-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-03-25,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-03-25,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-03-25-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-03-25-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-04-01-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-04-01-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-04-07,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-04-07,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-04-09-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-04-09-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-04-10-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-04-10-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-04-12-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-04-12-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-04-16-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-04-16-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-04-20-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-04-20-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-04-23,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-04-23,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-04-24-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-04-24-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-05-05,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-05-05,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-05-05-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-05-05-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-05-06,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-05-06,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-05-07,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-05-07,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-05-08-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-05-08-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-05-11,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-05-11,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-05-13-app,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-05-13-app,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-codex-changelog-codex-2026-05-18-mobile,Codex Changelog,https://developers.openai.com/codex/changelog/#codex-2026-05-18-mobile,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
